build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-E-4-2026-05-31T00-22-38.889Z.json,0.0964,-4.43,False,1.0,just_right,1.227,stopped,1.224,0.095,1.967
by-build,stroke-E-5-2026-05-31T00-22-46.408Z.json,0.1271,-6.29,False,1.0,just_right,2.136,stopped,2.123,0.234,2.6
by-build,stroke-E-6-2026-05-31T00-22-53.874Z.json,0.1071,-2.95,False,1.0,just_right,1.514,stopped,1.512,0.078,2.183
by-build,stroke-E-7-2026-05-31T00-23-03.557Z.json,0.1284,-11.28,False,1.0,just_right,2.183,stopped,2.141,0.427,2.633
by-build,stroke-E-8-2026-05-31T00-23-12.041Z.json,0.1602,-5.22,False,1.0,just_right,3.401,stopped,3.387,0.309,3.3
by-build,stroke-E-9-2026-05-31T00-23-20.057Z.json,0.1215,-5.07,False,1.0,early,1.953,stopped,1.946,0.172,2.483
by-build,stroke-F-1-2026-05-31T00-23-50.210Z.json,0.1373,-6.29,False,1.0,,2.496,stopped,2.481,0.274,2.817
by-build,stroke-F-10-2026-05-31T00-24-50.865Z.json,0.144,-7.97,False,1.0,just_right,2.748,stopped,2.722,0.381,2.967
by-build,stroke-F-2-2026-05-31T00-23-55.909Z.json,0.1211,-7.63,False,1.0,just_right,1.939,stopped,1.922,0.257,2.483
by-build,stroke-F-3-2026-05-31T00-24-01.760Z.json,0.1212,-7.03,False,1.0,just_right,1.943,stopped,1.928,0.238,2.483
by-build,stroke-F-4-2026-05-31T00-24-07.945Z.json,0.1428,-7.43,False,1.0,early,2.702,stopped,2.679,0.349,2.933
by-build,stroke-F-5-2026-05-31T00-24-15.811Z.json,0.1183,-6.26,False,1.0,just_right,1.85,stopped,1.839,0.202,2.417
by-build,stroke-F-6-2026-05-31T00-24-23.546Z.json,0.1377,-5.11,False,1.0,just_right,2.51,stopped,2.5,0.223,2.833
by-build,stroke-F-7-2026-05-31T00-24-29.810Z.json,0.1505,-6.95,False,1.0,early,3.002,stopped,2.98,0.363,3.1
by-build,stroke-F-8-2026-05-31T00-24-36.811Z.json,0.1358,-7.57,False,1.0,,2.442,stopped,2.42,0.322,2.783
by-build,stroke-F-9-2026-05-31T00-24-43.010Z.json,0.1566,-5.07,False,1.0,just_right,3.251,stopped,3.238,0.287,3.233
by-build,stroke-A-1-2026-05-31T08-10-18.542Z.json,0.1205,-7.84,False,1.0,,1.92,stopped,1.902,0.262,2.467
by-build,stroke-A-10-2026-05-31T08-11-10.744Z.json,0.1351,-8.46,False,1.0,just_right,2.416,stopped,2.39,0.355,2.767
by-build,stroke-A-11-2026-05-31T08-11-15.461Z.json,0.1537,-8.69,False,1.0,just_right,3.132,stopped,3.096,0.473,3.167
by-build,stroke-A-12-2026-05-31T08-11-26.926Z.json,0.1131,-3.0,False,1.0,just_right,1.692,stopped,1.69,0.089,2.317
by-build,stroke-A-13-2026-05-31T08-11-31.877Z.json,0.1375,-8.14,False,1.0,just_right,2.504,stopped,2.478,0.355,2.817
by-build,stroke-A-14-2026-05-31T08-11-37.479Z.json,0.1142,-5.08,False,1.0,just_right,1.725,stopped,1.718,0.153,2.333
by-build,stroke-A-15-2026-05-31T08-11-45.010Z.json,0.1306,-2.76,False,1.0,just_right,2.259,stopped,2.256,0.109,2.683
by-build,stroke-A-16-2026-05-31T08-12-33.131Z.json,0.1358,-8.45,False,1.0,just_right,2.44,stopped,2.413,0.359,2.783
by-build,stroke-A-17-2026-05-31T08-12-38.765Z.json,0.0,0.0,True,0.0,,0.0,stopped,0.0,0.0,0.0
